epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1800.19,2.51239,1.41309,0.95267,0.06936,0.35078,0.04709,0.01799,2.03609,15.8403,0.83605,0.0071686,0.0071686,0.0071686
145,1814.91,2.42966,1.34988,0.94402,0.07058,0.32441,0.05159,0.01626,2.03891,17.933,0.84019,0.0071488,0.0071488,0.0071488
146,1829.5,2.49154,1.36697,0.94863,0.08449,0.30679,0.05868,0.01821,1.98606,16.8173,0.82519,0.007129,0.007129,0.007129
147,1844.2,2.42604,1.36389,0.93999,0.08825,0.24296,0.05737,0.01795,2.16172,17.4252,0.84374,0.0071092,0.0071092,0.0071092
148,1858.79,2.47115,1.36958,0.94001,0.07866,0.29261,0.05808,0.01918,2.15484,15.7073,0.8467,0.0070894,0.0070894,0.0070894
149,1873.32,2.39525,1.31773,0.94403,0.07933,0.36047,0.05119,0.01675,2.33189,20.1295,0.87601,0.0070696,0.0070696,0.0070696
150,1887.97,2.50363,1.35391,0.93701,0.07545,0.2997,0.055,0.01939,2.17895,18.0902,0.85986,0.0070498,0.0070498,0.0070498
151,1902.51,2.49636,1.38323,0.93743,0.07155,0.26767,0.04986,0.01639,2.07994,17.274,0.83555,0.00703,0.00703,0.00703
152,1917.28,2.44448,1.36534,0.93728,0.0699,0.24983,0.05158,0.01884,2.13844,16.9215,0.84941,0.0070102,0.0070102,0.0070102
153,1932.09,2.40469,1.33583,0.94214,0.09075,0.2393,0.06413,0.01889,2.20289,16.5342,0.85666,0.0069904,0.0069904,0.0069904
154,1946.98,2.37134,1.31736,0.94196,0.08669,0.24617,0.05292,0.0172,2.04334,17.0552,0.84787,0.0069706,0.0069706,0.0069706
155,1961.66,2.39828,1.32832,0.93994,0.08063,0.2679,0.05351,0.01879,1.98553,16.1021,0.82662,0.0069508,0.0069508,0.0069508
156,1976.37,2.43749,1.34824,0.93507,0.09082,0.26767,0.05921,0.01956,2.21662,17.6814,0.84509,0.006931,0.006931,0.006931
157,1991.03,2.45346,1.35421,0.93316,0.07587,0.2868,0.05195,0.01848,2.18366,17.0984,0.85814,0.0069112,0.0069112,0.0069112
158,2005.62,2.36542,1.30211,0.93876,0.08664,0.25326,0.0558,0.01744,2.14182,15.3333,0.86085,0.0068914,0.0068914,0.0068914
159,2020.49,2.43872,1.37334,0.93466,0.06901,0.29993,0.04915,0.0159,2.03416,16.408,0.8397,0.0068716,0.0068716,0.0068716
160,2035.26,2.38056,1.32031,0.93566,0.07718,0.28552,0.05128,0.01754,2.14743,16.5687,0.86312,0.0068518,0.0068518,0.0068518
161,2049.81,2.40338,1.34097,0.94611,0.07354,0.28895,0.04812,0.01629,2.18604,15.7602,0.87247,0.006832,0.006832,0.006832
